solver_address,_col1,count
0x55a37a2e5e5973510ac9d9c723aec213fa161919,218,sandwiched
0x6372bcbf66656e91b9213b61d861b5e815296207,3,sandwiched
0x70f3c870b6e7e1d566e40c41e2e3d6e895fcee23,1,sandwiched
0x69f9365405762405cc17f7979aa8e94fd95c1e80,12,sandwiched
0xde1c59bc25d806ad9ddcbe246c4b5e5505645718,33,sandwiched
0xa6ddbd0de6b310819b49f680f65871bee85f517e,482,sandwiched
0x2d15894fac906386ff7f4bd07fceac43fcf80c73,9,sandwiched
0x97dd6a023b06ba4722af8af775ec3c2361e66684,8,sandwiched
0x15f4c337122ec23859ec73bec00ab38445e45304,46,sandwiched
0x5b0bfe439ab45a4f002c259b1654ed21c9a42d69,1,sandwiched
0x731a0a8ab2c6fcad841e82d06668af7f18e34970,1,sandwiched
0xdae69affe582d36f330ee1145995a53fab670962,1,sandwiched
0x6c2999b6b1fad608ecea71b926d68ee6c62beef8,11,sandwiched
0x8419ff1bcbce6f0233cf3460b28c32b6951fc457,1,sandwiched
0xde786877a10dbb7eba25a4da65aecf47654f08ab,11,sandwiched
0x511d452b738b3f1ada0e74e7a3412f5d975fc548,3,sandwiched
0xe92f359e6f05564849afa933ce8f62b8007a1d5d,77,sandwiched
0x3cee8c7d9b5c8f225a8c36e7d3514e1860309651,6,sandwiched
0x8c9d33828dace1eb9fc533ffde88c4a9db115061,1,sandwiched
0x6d1247b8acf4dfd5ff8cfd6c47077ddc43d4500e,17,sandwiched
0x833f076d182123ca8dde2743045ea02957bd61ef,1,sandwiched
0xf2d21ad3c88170d4ae52bbbeba80cb6078d276f4,4,sandwiched
0xbff9a1b539516f9e20c7b621163e676949959a66,23,sandwiched
0xe9ae2d792f981c53ea7f6493a17abf5b2a45a86b,40,sandwiched
0x7a0a8890d71a4834285efdc1d18bb3828e765c6a,1,sandwiched
0x8a4e90e9afc809a69d2a3bdbe5fff17a12979609,5,sandwiched
0x31a9ec3a6e29039c74723e387de42b79e6856fd8,2,sandwiched
0x97ec0a17432d71a3234ef7173c6b48a2c0940896,144,sandwiched
0x149d0f9282333681ee41d30589824b2798e9fb47,73,sandwiched
0xda869be4adea17ad39e1dfece1bc92c02491504f,111,sandwiched
0x6fa201c3aff9f1e4897ed14c7326cf27548d9c35,6,sandwiched
0x398890be7c4fac5d766e1aeffde44b2ee99f38ef,42,sandwiched
0xc9ec550bea1c64d779124b23a26292cc223327b6,323,sandwiched
0xe58c68679e7aab8ef83bf37e88b18eb1f6e30e22,1,sandwiched
0x77ec2a722c2393d3fd64617bbaf1499c713e616b,5,sandwiched
0xe33062a24149f7801a48b2675ed5111d3278f0f5,1,sandwiched
0xa21740833858985e4d801533a808786d3647fb83,94,sandwiched
0xb20b86c4e6deeb432a22d773a221898bbbd03036,351,sandwiched
